Name,Family_size,Status,Location,Age,Budget,Model
CUS1,5,Medium ,Single,ED,<40,GLE550e 4MATIC Plug-in Hybrid SUV
CUS2,5,Low,Single,LD,<40,GLA250 4MATIC SUV
CUS3,5,Medium ,Single,LD,<40,AMG GLE43 SUV
CUS4,5,Low,Married,LD,<40,GLE350 4MATIC SUV
CUS5,5,Low,Single,CD,<40,GLA250 SUV
CUS6,5,Medium ,Single,CD,<40,GLS450 SUV
CUS7,5,High,Single,CD,<40,AMG GLE63 SUV
CUS8,5,Low,Married,CD,<40,GLE350 SUV
CUS9,5,Medium ,Married,CD,<40,GLS550 SUV
CUS10,5,High,Married,CD,<40,AMG GLE63 S SUV
CUS11,5,Low,Single,LD,>40,GLC300 4MATIC SUV
CUS12,5,High,Single,LD,>40,AMG GLS63 SUV
CUS13,5,Low,Married,LD,>40,AMG GLC43 SUV
CUS14,5,High,Married,LD,>40,G550 SUV
CUS15,5,Low,Single,CD,>40,GLC300 SUV
CUS16,5,High,Single,CD,>40,AMG G63 SUV
CUS17,5,Low,Married,CD,>40,AMG GLA45 SUV
CUS18,5,High,Married,CD,>40,AMG G65 SUV
CUS19,3,Low,Single,LD,<40,C300 4MATIC Coupe
CUS20,3,Medium ,Single,LD,<40,AMG GLE43 Coupe
CUS21,3,Low,Married,LD,<40,CLA250 4MATIC Coupe
CUS22,3,Medium ,Married,LD,<40,CLS550 Coupe
CUS23,3,High,Married,LD,<40,AMG CLS63 S Coupe
CUS24,3,Low,Single,CD,<40,C300 Coupe
CUS25,3,Medium ,Single,CD,<40,AMG C63 Coupe
CUS26,3,Low,Married,CD,<40,CLA250 Coupe
CUS27,3,Medium ,Married,CD,<40,AMG C63 S Coupe
CUS28,3,Low,Single,LD,>40,E400 4MATIC Coupe
CUS29,3,Medium ,Single,LD,>40,2016 CLS400 4MATIC Coupe
CUS30,3,High,Single,LD,>40,AMG GLE63 S Coupe
CUS31,3,Low,Married,LD,>40,GLC300 4MATIC Coupe
CUS32,3,Medium ,Married,LD,>40,CLS550 4MATIC Coupe
