,Name,Age,Status,Family_size,Location,Budget,Age category,LD_CD,Model
1,CUS9,50,Married,3,Delaware,50000,40-60,CD,E400 Coupe
2,CUS14,34,Single,4,Northern Mariana Islands,40000,20-40,LD,C300 4MATIC SEDAN
3,CUS19,59,Single,3,Montana,80000,40-60,LD,2016 CLS550 4MATIC Coupe
4,CUS21,40,Married,5,Wisconsin,40000,40-60,LD,GLC300 4MATIC SUV
5,CUS22,39,Single,3,Arkansas,80000,20-40,CD,AMG C63 S Coupe
6,CUS25,32,Married,5,Pennsylvania,90000,20-40,LD,GLS550 SUV
7,CUS27,38,Single,5,Montana,50000,20-40,LD,GLE 350e 4MATIC SUV
8,CUS30,31,Married,6,Connecticut,70000,20-40,CD,AMG GLE43 SUV
9,CUS33,22,Single,5,American Samoa,70000,20-40,CD,AMG GLE43 SUV
10,CUS34,26,Married,5,Utah,30000,20-40,LD,GLA 4MATIC SUV
11,CUS36,27,Married,6,Minnesota,40000,20-40,LD,GLC300 4MATIC SUV
12,CUS38,40,Married,3,American Samoa,160000,40-60,CD,AMG S63 Coupe
13,CUS39,65,Married,4,Mississippi,140000,>60,LD,AMG S63 Sedan
14,CUS41,58,Married,6,Nebraska,50000,40-60,LD,GLE 350e 4MATIC SUV
15,CUS43,35,Single,3,United States Virgin Islands,120000,20-40,LD,S550 4MATIC Coupe
16,CUS44,43,Married,6,Florida,50000,40-60,LD,GLE 350e 4MATIC SUV
17,CUS47,47,Single,6,Maryland,110000,40-60,LD,AMG GLE63 S SUV
18,CUS51,24,Married,3,Illinois,70000,20-40,LD,2016 CLS400 4MATIC Coupe
19,CUS52,34,Married,2,New York,250000,20-40,LD,AMG S65 Cabriolet
20,CUS53,39,Single,3,District of Columbia,60000,20-40,CD,AMG C43 Coupe
21,CUS57,54,Single,3,West Virginia,50000,40-60,LD,GLC300 4MATIC Coupe
22,CUS58,37,Married,6,Kentucky,220000,20-40,LD,AMG G65 SUV
23,CUS59,57,Single,5,South Carolina,40000,40-60,LD,GLC300 4MATIC SUV
24,CUS63,32,Single,6,Kansas,120000,20-40,LD,AMG GLS63 SUV
25,CUS64,37,Single,2,California,110000,20-40,CD,SL 550 Roadster
26,CUS66,64,Married,3,North Carolina,50000,>60,LD,GLC300 4MATIC Coupe
27,CUS67,27,Single,5,Michigan,50000,20-40,LD,GLE 350e 4MATIC SUV
28,CUS68,63,Married,5,Rhode Island,30000,>60,LD,GLA 4MATIC SUV
29,CUS69,49,Single,4,Oklahoma,140000,40-60,LD,AMG S63 Sedan
30,CUS70,51,Single,4,Rhode Island,140000,40-60,LD,AMG S63 Sedan
31,CUS71,53,Married,5,Ohio,100000,40-60,LD,AMG GLE63 SUV
32,CUS73,51,Married,2,Pennsylvania,250000,40-60,LD,AMG S65 Cabriolet
33,CUS78,26,Single,6,Delaware,30000,20-40,CD,GLA SUV
34,CUS83,18,Married,5,South Carolina,70000,<20,LD,AMG GLE43 SUV
35,CUS84,63,Married,4,Northern Mariana Islands,190000,>60,LD,Mercedes-Maybach S600 Sedan
36,CUS85,47,Married,2,Nebraska,250000,40-60,LD,AMG S65 Cabriolet
37,CUS86,27,Married,6,American Samoa,30000,20-40,CD,GLA SUV
38,CUS87,57,Single,5,Guam,30000,40-60,LD,GLA 4MATIC SUV
39,CUS88,30,Single,4,Puerto Rico,70000,20-40,LD,AMG C63 S Sedan
40,CUS91,44,Single,4,New York,230000,40-60,LD,AMG S65 Sedan
41,CUS93,40,Single,6,Kansas,50000,40-60,LD,GLE 350e 4MATIC SUV
42,CUS95,51,Single,2,Puerto Rico,90000,40-60,LD,SL 450 Roadster
43,CUS96,63,Single,4,Idaho,70000,>60,LD,AMG E43 Sedan
44,CUS100,21,Married,2,Pennsylvania,80000,20-40,LD,AMG C63 S Cabriolet
45,CUS102,61,Single,3,West Virginia,40000,>60,LD,C300 4MATIC Coupe
46,CUS107,40,Single,2,New York,90000,40-60,LD,SL 450 Roadster
47,CUS108,29,Married,4,Tennessee,50000,20-40,LD,E300 4MATIC Sedan
48,CUS112,40,Single,4,Indiana,230000,40-60,LD,AMG S65 Sedan
49,CUS117,29,Single,4,Idaho,50000,20-40,LD,E300 4MATIC Sedan
50,CUS118,34,Single,5,Massachusetts,70000,20-40,LD,AMG GLE43 SUV
51,CUS119,33,Married,3,Wyoming,30000,20-40,LD,CLA250 4MATIC Coupe
52,CUS121,36,Single,2,Kentucky,90000,20-40,LD,SL 450 Roadster
53,CUS123,44,Single,2,Northern Mariana Islands,50000,40-60,LD,SLC 300 Roadster
54,CUS126,31,Married,2,Florida,80000,20-40,LD,AMG C63 S Cabriolet
55,CUS131,51,Single,3,Wisconsin,30000,40-60,LD,CLA250 4MATIC Coupe
56,CUS134,28,Married,4,Wisconsin,190000,20-40,LD,Mercedes-Maybach S600 Sedan
57,CUS135,53,Single,4,Michigan,170000,40-60,LD,Mercedes-Maybach S550 4MATIC Sedan
58,CUS138,26,Married,5,Guam,90000,20-40,LD,GLS550 SUV
59,CUS139,26,Single,3,Missouri,160000,20-40,LD,AMG S63 Coupe
60,CUS140,25,Married,5,Virginia,70000,20-40,LD,AMG GLE43 SUV
61,CUS143,51,Single,4,Wyoming,100000,40-60,LD,S550 4MATIC Sedan
62,CUS146,22,Single,6,Montana,100000,20-40,LD,AMG GLE63 SUV
63,CUS147,44,Single,3,West Virginia,50000,40-60,LD,GLC300 4MATIC Coupe
64,CUS148,33,Married,2,North Dakota,60000,20-40,LD,AMG C43 Cabriolet
65,CUS149,58,Married,4,Puerto Rico,40000,40-60,LD,C300 4MATIC SEDAN
66,CUS153,55,Married,6,Idaho,30000,40-60,LD,GLA 4MATIC SUV
67,CUS158,57,Married,6,Montana,140000,40-60,LD,AMG G63 SUV
68,CUS159,47,Married,3,South Carolina,30000,40-60,LD,CLA250 4MATIC Coupe
69,CUS160,36,Single,5,Hawaii,40000,20-40,LD,GLC300 4MATIC SUV
70,CUS168,46,Single,4,West Virginia,50000,40-60,LD,E300 4MATIC Sedan
71,CUS170,38,Single,6,Virginia,40000,20-40,LD,GLC300 4MATIC SUV
72,CUS172,63,Single,2,Louisiana,60000,>60,LD,AMG SLC43 Roadster
73,CUS173,58,Married,4,Alaska,100000,40-60,CD,S550 Sedan
74,CUS175,63,Single,3,Maine,240000,>60,LD,AMG S65 Coupe
75,CUS178,45,Single,3,Virginia,110000,40-60,LD,AMG GT
76,CUS180,31,Single,3,Washington,120000,20-40,LD,S550 4MATIC Coupe
77,CUS186,19,Married,5,New Hampshire,100000,<20,LD,AMG GLE63 SUV
78,CUS187,29,Single,6,Florida,140000,20-40,LD,AMG G63 SUV
79,CUS188,35,Single,3,District of Columbia,60000,20-40,CD,AMG C43 Coupe
80,CUS189,43,Single,3,Oklahoma,40000,40-60,LD,C300 4MATIC Coupe
81,CUS190,52,Married,2,Kentucky,250000,40-60,LD,AMG S65 Cabriolet
82,CUS192,24,Single,5,Iowa,100000,20-40,LD,AMG GLE63 SUV
83,CUS195,32,Single,3,New Hampshire,130000,20-40,LD,AMG GT S
84,CUS196,49,Married,6,Hawaii,70000,40-60,LD,GLS450 SUV
85,CUS201,61,Married,3,Arkansas,80000,>60,CD,AMG C63 S Coupe
86,CUS203,47,Single,5,Louisiana,120000,40-60,LD,G550 SUV
87,CUS204,29,Married,3,New Hampshire,240000,20-40,LD,AMG S65 Coupe
88,CUS205,23,Married,5,Tennessee,70000,20-40,LD,AMG GLE43 SUV
89,CUS210,60,Married,3,Wisconsin,160000,>60,LD,AMG S63 Coupe
90,CUS215,64,Married,6,Maryland,30000,>60,LD,GLA 4MATIC SUV
91,CUS221,60,Married,4,Florida,70000,>60,LD,AMG C63 Sedan
92,CUS222,58,Married,5,Kansas,100000,40-60,LD,AMG GLE63 SUV
93,CUS223,37,Married,3,Puerto Rico,240000,20-40,LD,AMG S65 Coupe
94,CUS224,60,Married,3,New Hampshire,70000,>60,LD,CLS550 Coupe
95,CUS230,49,Single,6,Texas,140000,40-60,LD,AMG G63 SUV
96,CUS234,48,Married,2,South Dakota,130000,40-60,LD,S550 Cabriolet
97,CUS236,34,Married,3,Texas,240000,20-40,LD,AMG S65 Coupe
98,CUS237,48,Single,2,Oregon,50000,40-60,LD,SLC 300 Roadster
99,CUS238,60,Single,6,Missouri,120000,>60,LD,G550 SUV
100,CUS239,48,Married,3,Alaska,60000,40-60,CD,E400 Cabriolet
101,CUS249,22,Single,5,American Samoa,120000,20-40,CD,AMG GLS63 SUV
102,CUS250,30,Married,6,Alaska,100000,20-40,CD,AMG GLE63 SUV
103,CUS252,45,Single,4,Mississippi,40000,40-60,LD,C300 4MATIC SEDAN
104,CUS253,59,Married,6,Massachusetts,100000,40-60,LD,AMG GLE63 SUV
105,CUS257,65,Single,4,Northern Mariana Islands,50000,>60,LD,E300 4MATIC Sedan
106,CUS262,45,Married,5,Hawaii,100000,40-60,LD,AMG GLE63 SUV
107,CUS263,52,Married,2,Mississippi,180000,40-60,LD,AMG S63 Cabriolet
108,CUS267,18,Married,4,Colorado,190000,<20,CD,Mercedes-Maybach S600 Sedan
109,CUS268,29,Married,3,Wisconsin,240000,20-40,LD,AMG S65 Coupe
110,CUS271,60,Married,5,Texas,140000,>60,LD,AMG G63 SUV
111,CUS272,32,Single,4,New Mexico,190000,20-40,LD,Mercedes-Maybach S600 Sedan
112,CUS273,65,Married,5,Florida,110000,>60,LD,AMG GLE63 S SUV
113,CUS275,34,Married,3,Maryland,130000,20-40,LD,AMG GT S
114,CUS276,54,Married,5,Massachusetts,90000,40-60,LD,GLS550 SUV
115,CUS285,34,Single,4,Texas,60000,20-40,LD,E400 4MATIC WAGON
116,CUS289,41,Married,5,Guam,220000,40-60,LD,AMG G65 SUV
117,CUS292,55,Single,4,Colorado,40000,40-60,CD,C300
118,CUS293,32,Married,6,Maryland,220000,20-40,LD,AMG G65 SUV
119,CUS294,63,Married,3,Kentucky,240000,>60,LD,AMG S65 Coupe
120,CUS295,24,Married,3,Arizona,130000,20-40,CD,AMG GT S
121,CUS298,21,Single,2,North Dakota,110000,20-40,LD,SL 550 Roadster
122,CUS304,35,Married,3,District of Columbia,130000,20-40,CD,AMG GT S
123,CUS305,20,Single,2,Connecticut,50000,20-40,CD,SLC 300 Roadster
124,CUS306,19,Married,4,Guam,170000,<20,LD,Mercedes-Maybach S550 4MATIC Sedan
125,CUS307,40,Married,6,North Carolina,110000,40-60,LD,AMG GLE63 S SUV
126,CUS308,28,Married,6,Mississippi,110000,20-40,LD,AMG GLE63 S SUV
127,CUS309,62,Married,3,American Samoa,120000,>60,CD,S550 4MATIC Coupe
128,CUS312,25,Single,5,American Samoa,140000,20-40,CD,AMG G63 SUV
129,CUS314,62,Single,3,Utah,160000,>60,LD,AMG S63 Coupe
130,CUS316,32,Single,5,Wisconsin,90000,20-40,LD,GLS550 SUV
131,CUS319,23,Married,3,Arizona,60000,20-40,CD,AMG C43 Coupe
132,CUS320,28,Single,5,West Virginia,70000,20-40,LD,AMG GLE43 SUV
133,CUS321,22,Single,5,Arizona,50000,20-40,CD,GLE 350 SUV
134,CUS327,26,Married,3,American Samoa,80000,20-40,CD,AMG C63 S Coupe
135,CUS328,26,Married,4,Utah,100000,20-40,LD,S550 4MATIC Sedan
136,CUS329,18,Married,3,Guam,50000,<20,LD,GLC300 4MATIC Coupe
137,CUS331,40,Married,4,New York,190000,40-60,LD,Mercedes-Maybach S600 Sedan
138,CUS334,61,Married,3,Vermont,80000,>60,LD,2016 CLS550 4MATIC Coupe
139,CUS338,51,Married,3,Guam,70000,40-60,LD,CLS550 Coupe
140,CUS339,23,Single,4,Missouri,60000,20-40,LD,E400 4MATIC WAGON
141,CUS343,39,Single,3,Hawaii,160000,20-40,LD,AMG S63 Coupe
142,CUS345,24,Single,2,Delaware,150000,20-40,CD,AMG SL63Roadster
143,CUS349,49,Married,5,Georgia,100000,40-60,LD,AMG GLE63 SUV
144,CUS359,24,Single,2,Alaska,150000,20-40,CD,AMG SL63Roadster
