,indents,Synonyms
0,,greeting
1,,cordial_greetings
2,,birthday_greetings
3,,warmest_greetings
4,,salutations
5,,Eid_greetings
6,,heartfelt_greetings
7,,Greeting
8,,Diwali_greetings
9,,Greetings
10,,felicitations
11,,sincere_greetings
12,,congratulations
13,,Hari_Raya_greetings
14,,congratulatory_messages
15,,fraternal_greetings
16,,heartiest_greetings
17,,TODAY_'S_ANNIVERSARIES_Happy
18,,Merry_Christmas_Happy
19,,congratulation
20,,cordial_greeting
21,,greeting_cards
22,,salutation
23,,Holi_greetings
24,,congratulatory_message
25,,exchanging_greetings
26,,Merry_Christmas
27,,Season_Greetings
28,,salaams
29,,Happy_Chanukah
30,,warm_felicitations
31,,Happy_Kwanza
32,,Thank_yous
33,,hugs
34,,Happy_Valentine_Day
35,,heartfelt_congratulations
36,,eCards
37,,Happy_Kwanzaa
38,,spokeswoman_Kristi_Ernsting
39,,Congratulatory
40,,congratulatory_greetings
41,,Best_Wishes
42,,Happy_Hannukah
43,,Gung_Hay_Fat_Choy
44,,warmest_felicitations
45,,affectionate_greetings
46,,congratulatory
47,,Ecards
48,,hearty_congratulations
49,,Ramadan_Kareem
0,yes,mso_style_qformat
1,yes,Yes
2,yes,mso_style_noshow
3,yes,resounding_YES
4,yes,emerge_victorious_Inouye
5,yes,yeah
6,yes,resounding_NO
7,yes,Well_duh
8,yes,Uh
9,yes,Oh_yes
10,yes,nope
11,yes,Oh
12,yes,Uhh
13,yes,Cross_References_CVE
14,yes,yea
15,yes,THE_PRESIDENT_Yes
16,yes,Nassau_Bahamas_Info
17,yes,SADY
18,yes,Hmm
19,yes,Mr._KOHUT
20,yes,oh
21,yes,Hmmm
22,yes,siree
23,yes,unhesitatingly_replied
24,yes,Uh_huh
25,yes,Uh_yeah
26,yes,Golly_gee
27,yes,hey
28,yes,Ummm
29,yes,Yeah
30,yes,Umm_yeah
31,yes,Yeah_yeah
32,yes,suppose
33,yes,Nuh_uh
34,yes,DENNIS_DYKES
35,yes,loooove
36,yes,Nope
37,yes,fuggedaboudit
38,yes,Pshaw
39,yes,noooo
40,yes,guess
41,yes,@_kiranchetrycnn_@
42,yes,I'ma_dork
43,yes,hmmm
44,yes,Okay
45,yes,WAYNE_BARRETT
46,yes,oh_yes
47,yes,Marches_chanted
48,yes,dunno
49,yes,Oh_yeah
0,help,helping
1,help,helps
2,help,Help
3,help,tohelp
4,help,assist
5,help,helped
6,help,Helping
7,help,enable
8,help,try
9,help,needed
10,help,empower
11,help,assistance
12,help,allow
13,help,improve
14,help,need
15,help,support
16,help,encourage
17,help,provide
18,help,facilitate
19,help,desperately
20,help,assisting
21,help,jumpstart
22,help,motivate
23,help,befriend_terminally_ill
24,help,equip
25,help,respectfully_Foolish_area
26,help,helpful
27,help,aids
28,help,contribute
29,help,microenterprise_loans
30,help,Thick_smoke_surrounded
31,help,able
32,help,At_AltaPointe
33,help,retrain_displaced
34,help,physicians_individualize
35,help,e_mail_circ@newstribune.com
36,help,enhance
37,help,destigmatize
38,help,struggling
39,help,aid
40,help,boost
41,help,finda
42,help,coordinate
43,help,augment
44,help,Bored_Room
45,help,replenish_dwindling
46,help,Keyonna_Adkins_single
47,help,enourage
48,help,feed_clothe_educate
49,help,Pennsylvania_www.univest.net
0,lease,leases
1,lease,sublease
2,lease,leasing
3,lease,leased
4,lease,subleases
5,lease,Lease
6,lease,Leases
7,lease,subleasing
8,lease,Lease_Agreement
9,lease,leasehold
10,lease,leaseback
11,lease,leasee
12,lease,lessee
13,lease,leaseholder
14,lease,rent
15,lease,contract
16,lease,leaseholds
17,lease,anchor_tenant
18,lease,subleased
19,lease,KOZ_status
20,lease,3bdrm_1B
21,lease,subtenants
22,lease,tenancy
23,lease,Quorum_Upstream_Suite
24,lease,tenant
25,lease,unexpired_lease
26,lease,sale_leaseback
27,lease,lessees
28,lease,leasees
29,lease,#.#k_SF
30,lease,sublet
31,lease,sale_leaseback_transaction
32,lease,leaseback_transaction
33,lease,##.#k_SF
34,lease,Special_Large_1bdrm
35,lease,Maplestar
36,lease,peppercorn_rent
37,lease,reversion_clause
38,lease,leaseholders
39,lease,easement
40,lease,leasehold_interests
41,lease,Tenancy_Agreement
42,lease,contracts
43,lease,agreement
44,lease,perpetual_easements
45,lease,Leasing
46,lease,##k_SF
47,lease,deeding
48,lease,WaterWalk_developers
49,lease,reverter_clause
0,buy,sell
1,buy,purchase
2,buy,buying
3,buy,bought
4,buy,buys
5,buy,Buy
6,buy,tobuy
7,buy,purchased
8,buy,Buying
9,buy,acquire
10,buy,purchasing
11,buy,resell
12,buy,puchase
13,buy,sold
14,buy,selling
15,buy,sells
16,buy,invest
17,buy,unload
18,buy,aquire
19,buy,borrow
20,buy,purchases
21,buy,sale
22,buy,procure
23,buy,puchased
24,buy,tosell
25,buy,onsell
26,buy,overpay
27,buy,outbid
28,buy,seeling
29,buy,Sell
30,buy,underprice
31,buy,donate
32,buy,sellling
33,buy,price
34,buy,purchasers
35,buy,priced
36,buy,Askaprice_independant_free
37,buy,purcahse
38,buy,peddle
39,buy,presell
40,buy,offload
41,buy,outbids
42,buy,cheapy
43,buy,buyer
44,buy,deeply_discounted
45,buy,overpriced
46,buy,reasonably_priced
47,buy,pay
48,buy,reinvest
49,buy,Bought
0,lottery,Lottery
1,lottery,lotteries
2,lottery,lotto
3,lottery,Lotto
4,lottery,Powerball_lottery
5,lottery,jackpot
6,lottery,Holiday_Millionaire_Raffle
7,lottery,multistate_Powerball
8,lottery,MegaMillions
9,lottery,Powerball
10,lottery,Mega_Millions
11,lottery,spokeswoman_Kym_Gerlock
12,lottery,Megamillions
13,lottery,scratchoff
14,lottery,jackpots
15,lottery,spokeswoman_Andi_Brancato
16,lottery,Carolyn_Hapeman
17,lottery,multistate_lottery
18,lottery,Bohage
19,lottery,Powerball_jackpots
20,lottery,PowerBall
21,lottery,lotto_ticket
22,lottery,SuperLotto
23,lottery,Powerball_Lottery
24,lottery,lottery_jackpot
25,lottery,Million_Dollar_Raffle
26,lottery,Hoosier_Lottery
27,lottery,Keno
28,lottery,SuperLOTTO_Plus_jackpot
29,lottery,NASPL
30,lottery,SuperLotto_Plus
31,lottery,multistate_Powerball_lottery
32,lottery,Mega_Millions_Lottery
33,lottery,keno
34,lottery,Lotteries
35,lottery,Maxmillions
36,lottery,Millionaire_Raffle
37,lottery,Scratchers
38,lottery,Marie_Kilbane
39,lottery,Leticia_Vasquez
40,lottery,Milli_Piyango
41,lottery,Mega_Millions_multistate
42,lottery,Mega_Millions_lottery
43,lottery,powerball_jackpot
44,lottery,Gtech_Holdings_Corp.
45,lottery,misprinted_tickets
46,lottery,spokesman_Chip_Polston
47,lottery,scratchies
48,lottery,unclaimed_winnings
49,lottery,spokesman_Andrew_Bohage
0,finance,Finance
1,finance,financing
2,finance,fi_nance
